year_id,sex_id,national_internal_age125,cap_value,diff,flag_diff
1995,8507,0,1,-1,FALSE
1995,8532,0,1,-1,FALSE
1996,8507,0,1,-1,FALSE
1996,8532,8.07559712637639e-11,1,-0.999999999919244,FALSE
1997,8507,0,1,-1,FALSE
1997,8532,1.01221672409942e-10,1,-0.999999999898778,FALSE
1998,8507,0,1,-1,FALSE
1998,8532,1.28661699588486e-10,1,-0.999999999871338,FALSE
1999,8507,0,1,-1,FALSE
1999,8532,1.61592962237438e-10,1,-0.999999999838407,FALSE
2000,8507,4.32340250838383e-09,1,-0.999999995676598,FALSE
2000,8532,2.02840537459816e-10,1,-0.999999999797159,FALSE
2001,8507,6.0626334255619e-09,1,-0.999999993937367,FALSE
2001,8532,2.58847540064313e-10,1,-0.999999999741152,FALSE
2002,8507,8.49823108245875e-09,1,-0.999999991501769,FALSE
2002,8532,8.17245696711759e-09,1,-0.999999991827543,FALSE
2003,8507,1.19181146117212e-08,1,-0.999999988081885,FALSE
2003,8532,1.60250732715938e-08,1,-0.999999983974927,FALSE
2004,8507,2.01003393997014e-08,1,-0.999999979899661,FALSE
2004,8532,2.31296517051481e-08,1,-0.999999976870348,FALSE
2005,8507,3.02939807647745e-08,1,-0.999999969706019,FALSE
2005,8532,4.03894432874837e-08,1,-0.999999959610557,FALSE
2006,8507,5.15346300298434e-08,1,-0.99999994846537,FALSE
2006,8532,6.00361981194755e-08,1,-0.999999939963802,FALSE
2007,8507,8.77915770097421e-08,1,-0.999999912208423,FALSE
2007,8532,9.85463351080329e-08,1,-0.999999901453665,FALSE
2008,8507,1.44602517474628e-07,1,-0.999999855397482,FALSE
2008,8532,1.53553526492703e-07,1,-0.999999846446473,FALSE
2009,8507,3.60078280635768e-07,1,-0.999999639921719,FALSE
2009,8532,2.44135936530995e-07,1,-0.999999755864063,FALSE
2010,8507,7.19851734436972e-07,1,-0.999999280148266,FALSE
2010,8532,3.86594667871284e-07,1,-0.999999613405332,FALSE
2011,8507,1.53617826683383e-06,1,-0.999998463821733,FALSE
2011,8532,6.27069796926669e-07,1,-0.999999372930203,FALSE
2012,8507,3.34603374086111e-06,1,-0.999996653966259,FALSE
2012,8532,1.01021595399657e-06,1,-0.999998989784046,FALSE
2013,8507,7.43070080878879e-06,1,-0.999992569299191,FALSE
2013,8532,1.63990681555259e-06,1,-0.999998360093185,FALSE
2014,8507,5.22770903826493e-06,1,-0.999994772290962,FALSE
2014,8532,2.80275741535387e-06,1,-0.999997197242585,FALSE
2015,8507,1.10977224363277e-05,1,-0.999988902277564,FALSE
2015,8532,4.58802408352394e-06,1,-0.999995411975917,FALSE
2016,8507,1.45847664014452e-05,1,-0.999985415233598,FALSE
2016,8532,5.83902949314583e-06,1,-0.999994160970507,FALSE
2017,8507,1.92604752106159e-05,1,-0.999980739524789,FALSE
2017,8532,7.48132473384616e-06,1,-0.999992518675266,FALSE
2018,8507,2.52859295401825e-05,1,-0.99997471407046,FALSE
2018,8532,9.62618709802852e-06,1,-0.999990373812902,FALSE
2019,8507,3.27984360166811e-05,1,-0.999967201563983,FALSE
2019,8532,1.23624053799611e-05,1,-0.99998763759462,FALSE
2020,8507,4.18398335647591e-05,1,-0.999958160166435,FALSE
2020,8532,1.58256393164432e-05,1,-0.999984174360683,FALSE
2021,8507,5.30283164914478e-05,1,-0.999946971683509,FALSE
2021,8532,2.01528019081119e-05,1,-0.999979847198092,FALSE
2022,8507,6.64261559894513e-05,1,-0.999933573844011,FALSE
2022,8532,2.56879709982105e-05,1,-0.999974312029002,FALSE
2023,8507,8.27362185452774e-05,1,-0.999917263781455,FALSE
2023,8532,3.2898020565929e-05,1,-0.999967101979434,FALSE
2024,8507,0.000103022733745615,1,-0.999896977266254,FALSE
2024,8532,4.24511558188708e-05,1,-0.999957548844181,FALSE
2025,8507,0.000128872820209433,1,-0.999871127179791,FALSE
2025,8532,5.53118804372649e-05,1,-0.999944688119563,FALSE
2026,8507,0,1,-1,FALSE
2026,8532,0,1,-1,FALSE
2027,8507,0,1,-1,FALSE
2027,8532,0,1,-1,FALSE
2028,8507,0,1,-1,FALSE
2028,8532,0,1,-1,FALSE
2029,8507,0,1,-1,FALSE
2029,8532,0,1,-1,FALSE
2030,8507,0,1,-1,FALSE
2030,8532,0,1,-1,FALSE
